province,region,rank_total,province_total_million,province_items,agencies,category,category_budget_million,category_items,percent,rank_category_share
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,กิจกรรม อบรม และบริหารจัดการ,707.7256,54,5.267087,18
ชลบุรี,ภาคตะวันออก,7,13436.7563,1190,100,จ้างเหมาและบริการ,508.2997,219,3.782905,12
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,ถนน สะพาน และทางสัญจร,3071.8394,118,23.322347,55
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,บุคลากร สวัสดิการ และเงินอุดหนุน,3529.5354,409,26.797316,25
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,น้ำ ชลประทาน ประปา และระบายน้ำ,2992.1622,94,22.717414,20
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,294.7771,133,2.238038,45
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,463.5543,39,3.519446,36
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,อาคารและสิ่งก่อสร้างอื่น,1488.7269,129,11.302871,42
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,อาหารและโภชนาการ,382.2318,198,2.902021,36
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,กิจกรรม อบรม และบริหารจัดการ,537.9074,60,4.083958,31
อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,8,13171.2274,1439,104,จ้างเหมาและบริการ,410.4929,259,3.116588,20
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,ถนน สะพาน และทางสัญจร,4262.8130,127,34.452466,21
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,บุคลากร สวัสดิการ และเงินอุดหนุน,3232.4543,546,26.125008,28
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,น้ำ ชลประทาน ประปา และระบายน้ำ,1465.1624,63,11.841584,61
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,161.5872,143,1.305963,71
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,697.5234,57,5.637451,17
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,อาคารและสิ่งก่อสร้างอื่น,1145.6049,103,9.258889,59
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,อาหารและโภชนาการ,375.2206,250,3.032569,33
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,กิจกรรม อบรม และบริหารจัดการ,726.1974,81,5.869198,13
เชียงราย,ภาคเหนือ,9,12373.0271,1682,106,จ้างเหมาและบริการ,306.4639,312,2.476871,28
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,ถนน สะพาน และทางสัญจร,3270.5052,102,28.706199,34
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,บุคลากร สวัสดิการ และเงินอุดหนุน,2526.9303,367,22.179620,46
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,น้ำ ชลประทาน ประปา และระบายน้ำ,2473.2067,73,21.708072,27
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,362.6521,145,3.183106,26
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,470.0051,29,4.125375,30
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,อาคารและสิ่งก่อสร้างอื่น,1351.3883,125,11.861538,36
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,อาหารและโภชนาการ,334.5701,182,2.936621,35
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,กิจกรรม อบรม และบริหารจัดการ,285.3373,37,2.504491,59
นครศรีธรรมราช,ภาคใต้,10,11393.0277,1308,90,จ้างเหมาและบริการ,318.4326,248,2.794978,24
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,ถนน สะพาน และทางสัญจร,3466.4876,160,33.193663,22
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,บุคลากร สวัสดิการ และเงินอุดหนุน,1824.8122,441,17.473653,55
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,น้ำ ชลประทาน ประปา และระบายน้ำ,2138.0777,62,20.473355,30
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,180.1654,123,1.725190,64
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,439.1817,44,4.205424,28
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,อาคารและสิ่งก่อสร้างอื่น,1605.5256,97,15.373854,17
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,อาหารและโภชนาการ,337.8584,228,3.235193,24
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,กิจกรรม อบรม และบริหารจัดการ,85.5063,41,0.818773,75
บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,11,10443.2212,1466,89,จ้างเหมาและบริการ,365.6063,270,3.500896,15
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,ถนน สะพาน และทางสัญจร,3919.8703,90,40.292146,9
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,บุคลากร สวัสดิการ และเงินอุดหนุน,1234.7909,224,12.692353,70
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,น้ำ ชลประทาน ประปา และระบายน้ำ,2887.3899,68,29.679333,7
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,191.8170,94,1.971677,54
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,268.3207,9,2.758055,49
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,อาคารและสิ่งก่อสร้างอื่น,688.3158,75,7.075163,71
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,อาหารและโภชนาการ,188.3852,120,1.936402,65
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,กิจกรรม อบรม และบริหารจัดการ,163.7066,24,1.682732,67
พระนครศรีอยุธยา,ภาคกลาง,12,9728.6212,868,62,จ้างเหมาและบริการ,186.0248,164,1.912139,42
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,ถนน สะพาน และทางสัญจร,577.0031,24,6.204443,77
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,บุคลากร สวัสดิการ และเงินอุดหนุน,2432.2690,119,26.153886,27
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,น้ำ ชลประทาน ประปา และระบายน้ำ,1878.1686,41,20.195713,31
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,192.0785,39,2.065396,52
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,747.6764,50,8.039671,9
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,อาคารและสิ่งก่อสร้างอื่น,2011.6587,65,21.631116,4
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,อาหารและโภชนาการ,308.2703,58,3.314792,22
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,กิจกรรม อบรม และบริหารจัดการ,900.1407,60,9.679101,3
นนทบุรี,ภาคกลาง,13,9299.8379,530,72,จ้างเหมาและบริการ,252.5726,74,2.715882,25
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,ถนน สะพาน และทางสัญจร,1943.7415,107,22.736523,59
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,บุคลากร สวัสดิการ และเงินอุดหนุน,2569.5144,475,30.056375,18
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,น้ำ ชลประทาน ประปา และระบายน้ำ,1635.2441,49,19.127937,33
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,266.6781,142,3.119413,27
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,222.9378,19,2.607770,50
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,อาคารและสิ่งก่อสร้างอื่น,1146.0115,123,13.405238,27
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,อาหารและโภชนาการ,354.7212,244,4.149280,6
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,กิจกรรม อบรม และบริหารจัดการ,271.0608,57,3.170679,41
สกลนคร,ภาคตะวันออกเฉียงเหนือ,14,8548.9829,1490,87,จ้างเหมาและบริการ,139.0735,274,1.626784,49
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,ถนน สะพาน และทางสัญจร,2263.8150,119,26.560667,38
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,บุคลากร สวัสดิการ และเงินอุดหนุน,2480.0478,472,29.097662,19
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,น้ำ ชลประทาน ประปา และระบายน้ำ,767.1935,36,9.001253,70
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,จัดซื้อครุภัณฑ์ ยานพาหนะ และทรัพย์สิน,229.7735,142,2.695864,35
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,ปรับปรุงและซ่อมแซมทรัพย์สินเดิม,494.4741,30,5.801517,14
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,อาคารและสิ่งก่อสร้างอื่น,1565.5370,136,18.367979,8
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,อาหารและโภชนาการ,309.5599,240,3.631974,13
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,กิจกรรม อบรม และบริหารจัดการ,240.0447,54,2.816373,50
ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,15,8523.1859,1519,94,จ้างเหมาและบริการ,172.7404,290,2.026712,41
